month,Pop,PfPR U5,year,Run_Number,Habitat_Multiplier,admin_name
5,931.2,0.004939862542955,2014,0,0.025118864315095794,FF
6,936.8,0.0008895530885283,2014,0,0.025118864315095794,FF
7,944.9666666667,0.001269886063,2014,0,0.025118864315095794,FF
8,951.7,0.0006304507723022,2014,0,0.025118864315095794,FF
9,953.4,0.0008740647507167,2014,0,0.025118864315095794,FF
10,949.0,0.002845100105374,2014,0,0.025118864315095794,FF
11,946.8333333333,0.0008449216687203,2014,0,0.025118864315095794,FF
12,946.6333333333,0.000105637522448,2014,0,0.025118864315095794,FF
1,940.7666666667,0.0,2015,0,0.025118864315095794,FF
2,931.2333333333,0.001861330851559,2015,0,0.025118864315095794,FF
3,928.1666666667,0.001436523612857,2015,0,0.025118864315095794,FF
4,925.7,0.0005761405783011,2015,0,0.025118864315095794,FF
5,922.6333333333,0.002059322952419,2015,0,0.025118864315095794,FF
6,922.4666666667,0.0001445400014454,2015,0,0.025118864315095794,FF
7,917.2333333333,0.002761928989352,2015,0,0.025118864315095794,FF
8,925.2666666667,0.001765256862886,2015,0,0.025118864315095794,FF
9,931.6666666667,0.001967799642218,2015,0,0.025118864315095794,FF
10,932.4,0.001001001001001,2015,0,0.025118864315095794,FF
11,930.0,0.001003584229391,2015,0,0.025118864315095794,FF
12,932.2666666667,0.002359839816934,2015,0,0.025118864315095794,FF
1,928.6333333333,0.0002871603431566,2016,0,0.025118864315095794,FF
2,925.6,0.002736963411121,2016,0,0.025118864315095794,FF
3,923.9,0.002994552079951,2016,0,0.025118864315095794,FF
4,916.4666666667,0.001891321742926,2016,0,0.025118864315095794,FF
5,917.0,0.002544529262087,2016,0,0.025118864315095794,FF
6,915.0333333333,0.001056427816837,2016,0,0.025118864315095794,FF
7,918.5666666667,0.002032151540443,2016,0,0.025118864315095794,FF
8,919.0333333333,0.001160639802691,2016,0,0.025118864315095794,FF
9,918.2,0.000653452406883,2016,0,0.025118864315095794,FF
10,921.3333333333,0.0,2016,0,0.025118864315095794,FF
11,926.5,3.597769382983e-05,2016,0,0.025118864315095794,FF
12,923.6333333333,0.00173228914793,2016,0,0.025118864315095794,FF
