Scenario_no,ScenarioName,CM_filename,NMF_filename,SMC_filename,ITN_filename,ANC_ITN_filename,EPI_ITN_filename,IRS_filename,IPTp_string,PMC_postprocess_flag,PMC_filename,IPTi,future_projection_flag,plot_order,description
0,seasonality_calibration_burnin,interventions_calib/cm_season_burnin,nmf_rates,NA,interventions_calib/itn_mass_coverages_mort_season_calib_burnin,NA,NA,NA,NA,FALSE,,FALSE,FALSE,,
2,seasonality_calibration_noMassITN,interventions_calib/cm_season_calib,nmf_rates,NA,NA,interventions_calib/anc_itn_use_coverages_mort_season_calib,NA,NA,NA,FALSE,,FALSE,FALSE,,
3,transmission_calibration_burnin,interventions_calib/cm_season_burnin,nmf_rates,interventions_2010_toPresent/smc_2010_toPresent,interventions_2010_toPresent/itn_mass_coverages_mort_2010_toPresent,interventions_2010_toPresent/anc_itn_use_coverages_mort_2010_toPresent,NA,interventions_projections/irs_80cov,NA,FALSE,interventions_projections/pmc_imp,FALSE,FALSE,,
4,transmission_calibration_main,interventions_2010_toPresent/cm_2010_toPresent,nmf_rates,interventions_2010_toPresent/smc_2010_toPresent,interventions_2010_toPresent/itn_mass_coverages_mort_2010_toPresent,interventions_2010_toPresent/anc_itn_use_coverages_mort_2010_toPresent,NA,NA,NA,FALSE,interventions_projections/pmc_imp,FALSE,FALSE,,
